id,sympy,natural_language
7112,"Exists(z, Implies(P(z), ForAll(x, Q(x))))","There exists z such that if P(z) then for all x, Q(x)."
7113,"ForAll(v, Implies(P(v), Exists(w, M(v,w))))","For all v, if P(v) then there exists w such that M(v,w)."
7114,"ForAll(w, Implies(Q(w), And(T(w), R(w))))","For all w, if Q(w) then T(w) and R(w)."
7115,"ForAll(z, Implies(S(z), And(R(z), V(z))))","For all z, if S(z) then R(z) and V(z)."
7116,"Exists(y, ForAll(x, Implies(O(y,x), T(x))))","There exists y such that for all x, if O(y,x) then T(x)."
7117,"Exists(y, And(P(y), U(y)))",There exists y such that P(y) and U(y).
7118,"ForAll(u, Or(V(u), Exists(y, P(y))))","For all u, either V(u) or there exists y such that P(y)."
7119,"Exists(y, Implies(S(y), ForAll(v, S(v))))","There exists y such that if S(y) then for all v, S(v)."
7120,"Exists(x, ForAll(z, Equivalent(T(x), O(x,z))))","There exists x such that for all z, T(x) iff O(x,z)."
7121,"Exists(w, Exists(y, And(L(w,y), P(w))))","There exist w and y such that L(w,y) and P(w)."
7122,"Exists(y, Exists(w, And(N(y,w), V(y))))","There exist y and w such that N(y,w) and V(y)."
7123,"Exists(z, ForAll(v, Equivalent(T(z), O(z,v))))","There exists z such that for all v, T(z) iff O(z,v)."
7124,"ForAll(x, Implies(P(x), And(U(x), U(x))))","For all x, if P(x) then U(x) and U(x)."
7125,"ForAll(u, Implies(V(u), Exists(w, O(u,w))))","For all u, if V(u) then there exists w such that O(u,w)."
7126,"ForAll(y, Implies(T(y), Q(y)))","For all y, if T(y) then Q(y)."
7127,"Exists(x, Exists(v, And(L(x,v), V(x))))","There exist x and v such that L(x,v) and V(x)."
7128,"Exists(y, ForAll(z, Implies(N(y,z), U(z))))","There exists y such that for all z, if N(y,z) then U(z)."
7129,"ForAll(y, Implies(And(P(y), V(y)), U(y)))","For all y, if P(y) and V(y) then U(y)."
7130,"Exists(w, Exists(u, And(M(w,u), S(w))))","There exist w and u such that M(w,u) and S(w)."
7131,"ForAll(x, Implies(And(Q(x), P(x)), U(x)))","For all x, if Q(x) and P(x) then U(x)."
7132,"ForAll(x, Or(U(x), Exists(w, V(w))))","For all x, either U(x) or there exists w such that V(w)."
7133,"ForAll(w, Implies(U(w), Exists(z, L(w,z))))","For all w, if U(w) then there exists z such that L(w,z)."
7134,"Exists(y, Implies(Q(y), ForAll(u, U(u))))","There exists y such that if Q(y) then for all u, U(u)."
7135,"Exists(y, ForAll(u, Equivalent(V(y), M(y,u))))","There exists y such that for all u, V(y) iff M(y,u)."
7136,"ForAll(x, Implies(P(x), Exists(w, N(x,w))))","For all x, if P(x) then there exists w such that N(x,w)."
7137,"ForAll(u, Implies(And(R(u), Q(u)), T(u)))","For all u, if R(u) and Q(u) then T(u)."
7138,"ForAll(u, Or(S(u), Exists(v, U(v))))","For all u, either S(u) or there exists v such that U(v)."
7139,"ForAll(w, Or(Not(Q(w)), S(w)))","For all w, either not Q(w) or S(w)."
7140,"ForAll(v, Implies(R(v), Or(P(v), S(v))))","For all v, if R(v) then P(v) or S(v)."
7141,"ForAll(w, Implies(And(R(w), T(w)), R(w)))","For all w, if R(w) and T(w) then R(w)."
7142,"ForAll(w, Implies(R(w), Or(R(w), T(w))))","For all w, if R(w) then R(w) or T(w)."
7143,"ForAll(y, Implies(U(y), Or(V(y), T(y))))","For all y, if U(y) then V(y) or T(y)."
7144,"Exists(x, ForAll(v, Implies(M(x,v), S(v))))","There exists x such that for all v, if M(x,v) then S(v)."
7145,"Exists(x, Exists(v, And(N(x,v), P(x))))","There exist x and v such that N(x,v) and P(x)."
7146,"ForAll(u, Or(U(u), Exists(y, S(y))))","For all u, either U(u) or there exists y such that S(y)."
7147,"ForAll(v, Or(U(v), Exists(x, Q(x))))","For all v, either U(v) or there exists x such that Q(x)."
7148,"Exists(v, Implies(U(v), ForAll(x, S(x))))","There exists v such that if U(v) then for all x, S(x)."
7149,"Exists(v, And(Not(T(v)), Exists(w, O(v,w))))","There exists v such that not T(v) and there exists w with O(v,w)."
7150,"Exists(z, Exists(w, And(L(z,w), Q(z))))","There exist z and w such that L(z,w) and Q(z)."
7151,"ForAll(v, Implies(P(v), Exists(z, L(v,z))))","For all v, if P(v) then there exists z such that L(v,z)."
7152,"Exists(x, ForAll(y, Equivalent(Q(x), N(x,y))))","There exists x such that for all y, Q(x) iff N(x,y)."
7153,"ForAll(y, Or(R(y), Exists(z, S(z))))","For all y, either R(y) or there exists z such that S(z)."
7154,"ForAll(w, Implies(P(w), And(T(w), V(w))))","For all w, if P(w) then T(w) and V(w)."
7155,"Exists(x, Implies(R(x), ForAll(z, U(z))))","There exists x such that if R(x) then for all z, U(z)."
7156,"ForAll(z, Implies(Exists(x, L(z,x)), V(z)))","For all z, if there exists x with L(z,x) then V(z)."
7157,"Exists(x, Implies(P(x), ForAll(z, P(z))))","There exists x such that if P(x) then for all z, P(z)."
7158,"ForAll(y, Implies(And(Q(y), R(y)), S(y)))","For all y, if Q(y) and R(y) then S(y)."
7159,"Exists(x, Implies(U(x), ForAll(v, R(v))))","There exists x such that if U(x) then for all v, R(v)."
7160,"ForAll(y, Implies(S(y), Or(T(y), S(y))))","For all y, if S(y) then T(y) or S(y)."
7161,"ForAll(y, Implies(U(y), Exists(u, L(y,u))))","For all y, if U(y) then there exists u such that L(y,u)."
7162,"ForAll(y, Implies(R(y), R(y)))","For all y, if R(y) then R(y)."
7163,"Exists(z, ForAll(u, Implies(L(z,u), V(u))))","There exists z such that for all u, if L(z,u) then V(u)."
7164,"ForAll(v, Implies(And(S(v), R(v)), V(v)))","For all v, if S(v) and R(v) then V(v)."
7165,"ForAll(x, Implies(V(x), And(U(x), R(x))))","For all x, if V(x) then U(x) and R(x)."
7166,"Exists(v, Implies(Q(v), ForAll(u, T(u))))","There exists v such that if Q(v) then for all u, T(u)."
7167,"Exists(z, ForAll(y, Equivalent(P(z), O(z,y))))","There exists z such that for all y, P(z) iff O(z,y)."
7168,"ForAll(u, Or(Q(u), Exists(x, Q(x))))","For all u, either Q(u) or there exists x such that Q(x)."
7169,"Exists(v, ForAll(w, Equivalent(T(v), O(v,w))))","There exists v such that for all w, T(v) iff O(v,w)."
7170,"ForAll(u, Implies(And(V(u), V(u)), P(u)))","For all u, if V(u) and V(u) then P(u)."
7171,"ForAll(w, Implies(T(w), Exists(v, N(w,v))))","For all w, if T(w) then there exists v such that N(w,v)."
7172,"ForAll(x, Implies(S(x), Exists(w, M(x,w))))","For all x, if S(x) then there exists w such that M(x,w)."
7173,"ForAll(w, Implies(T(w), And(P(w), S(w))))","For all w, if T(w) then P(w) and S(w)."
7174,"Exists(y, Exists(w, And(M(y,w), P(y))))","There exist y and w such that M(y,w) and P(y)."
7175,"ForAll(v, Or(P(v), Exists(x, Q(x))))","For all v, either P(v) or there exists x such that Q(x)."
7176,"ForAll(y, Implies(And(U(y), Q(y)), P(y)))","For all y, if U(y) and Q(y) then P(y)."
7177,"ForAll(y, Implies(S(y), Exists(u, O(y,u))))","For all y, if S(y) then there exists u such that O(y,u)."
7178,"ForAll(u, Implies(V(u), Exists(x, M(u,x))))","For all u, if V(u) then there exists x such that M(u,x)."
7179,"ForAll(v, Or(R(v), Exists(y, T(y))))","For all v, either R(v) or there exists y such that T(y)."
7180,"ForAll(y, Implies(Exists(v, L(y,v)), Q(y)))","For all y, if there exists v with L(y,v) then Q(y)."
7181,"ForAll(u, Implies(And(Q(u), P(u)), S(u)))","For all u, if Q(u) and P(u) then S(u)."
7182,"Exists(v, Implies(T(v), ForAll(u, V(u))))","There exists v such that if T(v) then for all u, V(u)."
7183,"Exists(y, And(Not(P(y)), Exists(w, M(y,w))))","There exists y such that not P(y) and there exists w with M(y,w)."
7184,"Exists(w, Exists(u, And(O(w,u), Q(w))))","There exist w and u such that O(w,u) and Q(w)."
7185,"ForAll(x, Implies(P(x), And(V(x), T(x))))","For all x, if P(x) then V(x) and T(x)."
7186,"Exists(v, Implies(V(v), ForAll(w, Q(w))))","There exists v such that if V(v) then for all w, Q(w)."
7187,"Exists(x, Implies(S(x), ForAll(v, Q(v))))","There exists x such that if S(x) then for all v, Q(v)."
7188,"Exists(x, And(Not(U(x)), Exists(z, O(x,z))))","There exists x such that not U(x) and there exists z with O(x,z)."
7189,"ForAll(u, Implies(Exists(y, N(u,y)), T(u)))","For all u, if there exists y with N(u,y) then T(u)."
7190,"ForAll(u, Or(Not(U(u)), U(u)))","For all u, either not U(u) or U(u)."
7191,"ForAll(w, Or(Not(P(w)), S(w)))","For all w, either not P(w) or S(w)."
7192,"ForAll(u, Implies(And(T(u), T(u)), S(u)))","For all u, if T(u) and T(u) then S(u)."
7193,"ForAll(x, Implies(T(x), Q(x)))","For all x, if T(x) then Q(x)."
7194,"ForAll(z, Implies(P(z), Exists(w, O(z,w))))","For all z, if P(z) then there exists w such that O(z,w)."
7195,"Exists(w, And(Not(U(w)), Exists(x, N(w,x))))","There exists w such that not U(w) and there exists x with N(w,x)."
7196,"ForAll(u, Implies(U(u), Or(S(u), V(u))))","For all u, if U(u) then S(u) or V(u)."
7197,"Exists(v, And(T(v), P(v)))",There exists v such that T(v) and P(v).
7198,"ForAll(w, Implies(V(w), Exists(v, N(w,v))))","For all w, if V(w) then there exists v such that N(w,v)."
7199,"ForAll(y, Implies(V(y), Or(R(y), V(y))))","For all y, if V(y) then R(y) or V(y)."
7200,"Exists(z, ForAll(v, Implies(N(z,v), S(v))))","There exists z such that for all v, if N(z,v) then S(v)."
7201,"ForAll(v, Implies(And(S(v), S(v)), P(v)))","For all v, if S(v) and S(v) then P(v)."
7202,"Exists(u, Implies(V(u), ForAll(v, Q(v))))","There exists u such that if V(u) then for all v, Q(v)."
7203,"Exists(w, Exists(z, And(L(w,z), V(w))))","There exist w and z such that L(w,z) and V(w)."
7204,"ForAll(u, Or(U(u), Exists(v, S(v))))","For all u, either U(u) or there exists v such that S(v)."
7205,"ForAll(x, Implies(And(S(x), Q(x)), V(x)))","For all x, if S(x) and Q(x) then V(x)."
7206,"ForAll(y, Implies(Q(y), And(P(y), V(y))))","For all y, if Q(y) then P(y) and V(y)."
7207,"Exists(u, Exists(w, And(M(u,w), R(u))))","There exist u and w such that M(u,w) and R(u)."
7208,"Exists(w, Implies(R(w), ForAll(y, R(y))))","There exists w such that if R(w) then for all y, R(y)."
7209,"Exists(x, Exists(u, And(M(x,u), U(x))))","There exist x and u such that M(x,u) and U(x)."
7210,"ForAll(z, Implies(T(z), And(R(z), R(z))))","For all z, if T(z) then R(z) and R(z)."
7211,"ForAll(y, Implies(Exists(w, O(y,w)), R(y)))","For all y, if there exists w with O(y,w) then R(y)."
7212,"Exists(x, ForAll(z, Equivalent(R(x), O(x,z))))","There exists x such that for all z, R(x) iff O(x,z)."
7213,"Exists(v, Exists(w, Exists(z, And(M(v,w), M(w,z)))))","There exist v, w, and z such that M(v,w) and M(w,z)."
7214,"ForAll(u, Implies(P(u), Or(U(u), Q(u))))","For all u, if P(u) then U(u) or Q(u)."
7215,"ForAll(w, Implies(Exists(v, N(w,v)), V(w)))","For all w, if there exists v with N(w,v) then V(w)."
7216,"Exists(x, ForAll(w, Implies(O(x,w), V(w))))","There exists x such that for all w, if O(x,w) then V(w)."
7217,"ForAll(w, Implies(S(w), Or(P(w), S(w))))","For all w, if S(w) then P(w) or S(w)."
7218,"ForAll(w, Implies(And(S(w), V(w)), T(w)))","For all w, if S(w) and V(w) then T(w)."
7219,"ForAll(v, Implies(U(v), Or(Q(v), R(v))))","For all v, if U(v) then Q(v) or R(v)."
7220,"Exists(z, ForAll(v, Implies(M(z,v), R(v))))","There exists z such that for all v, if M(z,v) then R(v)."
7221,"Exists(w, ForAll(z, Implies(L(w,z), T(z))))","There exists w such that for all z, if L(w,z) then T(z)."
7222,"Exists(x, ForAll(y, Equivalent(V(x), M(x,y))))","There exists x such that for all y, V(x) iff M(x,y)."
7223,"ForAll(w, Implies(T(w), And(U(w), Q(w))))","For all w, if T(w) then U(w) and Q(w)."
7224,"Exists(z, Exists(w, And(L(z,w), T(z))))","There exist z and w such that L(z,w) and T(z)."
7225,"Exists(y, And(Q(y), U(y)))",There exists y such that Q(y) and U(y).
7226,"ForAll(v, Implies(U(v), Or(R(v), U(v))))","For all v, if U(v) then R(v) or U(v)."
7227,"Exists(z, ForAll(u, Implies(M(z,u), U(u))))","There exists z such that for all u, if M(z,u) then U(u)."
7228,"ForAll(u, Implies(V(u), Or(Q(u), U(u))))","For all u, if V(u) then Q(u) or U(u)."
7229,"ForAll(y, Implies(V(y), Or(T(y), T(y))))","For all y, if V(y) then T(y) or T(y)."
7230,"Exists(v, Implies(V(v), ForAll(z, S(z))))","There exists v such that if V(v) then for all z, S(z)."
7231,"ForAll(x, Implies(S(x), And(P(x), R(x))))","For all x, if S(x) then P(x) and R(x)."
7232,"ForAll(w, Implies(P(w), Exists(y, M(w,y))))","For all w, if P(w) then there exists y such that M(w,y)."
7233,"Exists(u, ForAll(z, Implies(N(u,z), T(z))))","There exists u such that for all z, if N(u,z) then T(z)."
7234,"Exists(x, ForAll(w, Implies(M(x,w), U(w))))","There exists x such that for all w, if M(x,w) then U(w)."
7235,"ForAll(z, Implies(And(U(z), T(z)), U(z)))","For all z, if U(z) and T(z) then U(z)."
7236,"ForAll(y, Implies(Exists(u, N(y,u)), U(y)))","For all y, if there exists u with N(y,u) then U(y)."
7237,"ForAll(u, Or(U(u), Exists(w, S(w))))","For all u, either U(u) or there exists w such that S(w)."
7238,"ForAll(z, Implies(S(z), Exists(y, O(z,y))))","For all z, if S(z) then there exists y such that O(z,y)."
7239,"Exists(w, ForAll(u, Implies(O(w,u), V(u))))","There exists w such that for all u, if O(w,u) then V(u)."
7240,"ForAll(u, Implies(And(V(u), V(u)), T(u)))","For all u, if V(u) and V(u) then T(u)."
7241,"Exists(z, And(Not(Q(z)), Exists(y, N(z,y))))","There exists z such that not Q(z) and there exists y with N(z,y)."
7242,"ForAll(z, Implies(And(P(z), V(z)), T(z)))","For all z, if P(z) and V(z) then T(z)."
7243,"ForAll(v, Implies(S(v), T(v)))","For all v, if S(v) then T(v)."
7244,"ForAll(x, Implies(Q(x), And(Q(x), S(x))))","For all x, if Q(x) then Q(x) and S(x)."
7245,"ForAll(v, Implies(And(Q(v), U(v)), Q(v)))","For all v, if Q(v) and U(v) then Q(v)."
7246,"ForAll(z, Implies(And(V(z), V(z)), U(z)))","For all z, if V(z) and V(z) then U(z)."
7247,"Exists(z, And(Q(z), U(z)))",There exists z such that Q(z) and U(z).
7248,"ForAll(u, Implies(R(u), Exists(y, O(u,y))))","For all u, if R(u) then there exists y such that O(u,y)."
7249,"Exists(u, ForAll(w, Equivalent(Q(u), O(u,w))))","There exists u such that for all w, Q(u) iff O(u,w)."
7250,"ForAll(w, Implies(R(w), Or(S(w), S(w))))","For all w, if R(w) then S(w) or S(w)."
7251,"Exists(y, And(Not(U(y)), Exists(v, N(y,v))))","There exists y such that not U(y) and there exists v with N(y,v)."
7252,"ForAll(z, Implies(Exists(u, N(z,u)), S(z)))","For all z, if there exists u with N(z,u) then S(z)."
7253,"ForAll(y, Implies(And(R(y), P(y)), R(y)))","For all y, if R(y) and P(y) then R(y)."
7254,"ForAll(w, Implies(Exists(y, N(w,y)), Q(w)))","For all w, if there exists y with N(w,y) then Q(w)."
7255,"ForAll(u, Or(P(u), Exists(v, R(v))))","For all u, either P(u) or there exists v such that R(v)."
7256,"Exists(u, Implies(S(u), ForAll(x, T(x))))","There exists u such that if S(u) then for all x, T(x)."
7257,"Exists(v, ForAll(z, Implies(N(v,z), U(z))))","There exists v such that for all z, if N(v,z) then U(z)."
7258,"Exists(y, And(S(y), T(y)))",There exists y such that S(y) and T(y).
7259,"ForAll(w, Implies(And(Q(w), U(w)), V(w)))","For all w, if Q(w) and U(w) then V(w)."
7260,"ForAll(w, Or(S(w), Exists(u, T(u))))","For all w, either S(w) or there exists u such that T(u)."
7261,"Exists(u, And(Not(S(u)), Exists(x, N(u,x))))","There exists u such that not S(u) and there exists x with N(u,x)."
7262,"ForAll(w, Implies(U(w), Or(T(w), S(w))))","For all w, if U(w) then T(w) or S(w)."
7263,"ForAll(z, Implies(And(V(z), U(z)), S(z)))","For all z, if V(z) and U(z) then S(z)."
7264,"ForAll(z, Implies(And(R(z), R(z)), S(z)))","For all z, if R(z) and R(z) then S(z)."
7265,"ForAll(w, Or(V(w), Exists(v, Q(v))))","For all w, either V(w) or there exists v such that Q(v)."
7266,"Exists(w, Implies(S(w), ForAll(x, U(x))))","There exists w such that if S(w) then for all x, U(x)."
7267,"ForAll(y, Implies(T(y), Or(U(y), P(y))))","For all y, if T(y) then U(y) or P(y)."
7268,"ForAll(y, Implies(V(y), Or(T(y), V(y))))","For all y, if V(y) then T(y) or V(y)."
7269,"ForAll(v, ForAll(y, Implies(N(v,y), N(y,v))))","For all v and y, if N(v,y) then N(y,v)."
7270,"ForAll(x, Implies(P(x), Exists(v, L(x,v))))","For all x, if P(x) then there exists v such that L(x,v)."
7271,"Exists(v, ForAll(z, Equivalent(U(v), L(v,z))))","There exists v such that for all z, U(v) iff L(v,z)."
7272,"Exists(u, ForAll(w, Implies(N(u,w), S(w))))","There exists u such that for all w, if N(u,w) then S(w)."
7273,"Exists(w, Exists(x, Exists(y, And(N(w,x), N(x,y)))))","There exist w, x, and y such that N(w,x) and N(x,y)."
7274,"Exists(z, Exists(u, Exists(v, And(N(z,u), N(u,v)))))","There exist z, u, and v such that N(z,u) and N(u,v)."
7275,"Exists(z, Exists(w, And(O(z,w), T(z))))","There exist z and w such that O(z,w) and T(z)."
7276,"ForAll(z, Implies(Exists(y, O(z,y)), Q(z)))","For all z, if there exists y with O(z,y) then Q(z)."
7277,"ForAll(w, Or(Not(U(w)), S(w)))","For all w, either not U(w) or S(w)."
7278,"ForAll(z, Or(T(z), Exists(v, P(v))))","For all z, either T(z) or there exists v such that P(v)."
7279,"Exists(y, Implies(S(y), ForAll(w, S(w))))","There exists y such that if S(y) then for all w, S(w)."
7280,"ForAll(u, Implies(And(V(u), T(u)), Q(u)))","For all u, if V(u) and T(u) then Q(u)."
7281,"ForAll(x, Implies(And(V(x), T(x)), V(x)))","For all x, if V(x) and T(x) then V(x)."
7282,"Exists(w, Exists(y, And(N(w,y), U(w))))","There exist w and y such that N(w,y) and U(w)."
7283,"Exists(x, ForAll(y, Equivalent(V(x), N(x,y))))","There exists x such that for all y, V(x) iff N(x,y)."
7284,"Exists(y, And(Not(R(y)), Exists(z, O(y,z))))","There exists y such that not R(y) and there exists z with O(y,z)."
7285,"ForAll(v, Implies(Exists(u, O(v,u)), S(v)))","For all v, if there exists u with O(v,u) then S(v)."
7286,"ForAll(y, Implies(U(y), And(S(y), S(y))))","For all y, if U(y) then S(y) and S(y)."
7287,"ForAll(v, Implies(Exists(u, L(v,u)), P(v)))","For all v, if there exists u with L(v,u) then P(v)."
7288,"ForAll(z, Implies(V(z), And(V(z), T(z))))","For all z, if V(z) then V(z) and T(z)."
7289,"ForAll(x, Implies(Q(x), Or(S(x), P(x))))","For all x, if Q(x) then S(x) or P(x)."
7290,"ForAll(v, Implies(U(v), Exists(w, M(v,w))))","For all v, if U(v) then there exists w such that M(v,w)."
7291,"ForAll(z, Implies(And(V(z), Q(z)), T(z)))","For all z, if V(z) and Q(z) then T(z)."
7292,"ForAll(y, Implies(V(y), S(y)))","For all y, if V(y) then S(y)."
7293,"ForAll(v, Implies(R(v), P(v)))","For all v, if R(v) then P(v)."
7294,"ForAll(u, Implies(Q(u), Or(R(u), V(u))))","For all u, if Q(u) then R(u) or V(u)."
7295,"ForAll(x, Implies(And(U(x), U(x)), V(x)))","For all x, if U(x) and U(x) then V(x)."
7296,"Exists(u, And(Not(Q(u)), Exists(z, L(u,z))))","There exists u such that not Q(u) and there exists z with L(u,z)."
7297,"Exists(v, ForAll(w, Implies(M(v,w), V(w))))","There exists v such that for all w, if M(v,w) then V(w)."
7298,"ForAll(u, Implies(T(u), Or(S(u), V(u))))","For all u, if T(u) then S(u) or V(u)."
7299,"ForAll(x, Implies(T(x), And(U(x), S(x))))","For all x, if T(x) then U(x) and S(x)."
7300,"ForAll(y, Implies(U(y), And(T(y), R(y))))","For all y, if U(y) then T(y) and R(y)."
7301,"Exists(v, Exists(z, And(O(v,z), Q(v))))","There exist v and z such that O(v,z) and Q(v)."
7302,"Exists(u, And(Q(u), S(u)))",There exists u such that Q(u) and S(u).
7303,"ForAll(w, Implies(Exists(z, L(w,z)), U(w)))","For all w, if there exists z with L(w,z) then U(w)."
7304,"ForAll(v, Implies(V(v), Exists(x, O(v,x))))","For all v, if V(v) then there exists x such that O(v,x)."
7305,"Exists(y, ForAll(x, Equivalent(Q(y), M(y,x))))","There exists y such that for all x, Q(y) iff M(y,x)."
7306,"Exists(y, Exists(x, And(M(y,x), U(y))))","There exist y and x such that M(y,x) and U(y)."
7307,"ForAll(y, Implies(And(U(y), S(y)), R(y)))","For all y, if U(y) and S(y) then R(y)."
7308,"Exists(u, And(Not(V(u)), Exists(w, O(u,w))))","There exists u such that not V(u) and there exists w with O(u,w)."
7309,"Exists(y, ForAll(z, Equivalent(P(y), L(y,z))))","There exists y such that for all z, P(y) iff L(y,z)."
7310,"ForAll(y, Implies(U(y), Exists(x, L(y,x))))","For all y, if U(y) then there exists x such that L(y,x)."
7311,"Exists(z, Implies(V(z), ForAll(y, R(y))))","There exists z such that if V(z) then for all y, R(y)."
7312,"ForAll(w, Implies(V(w), And(V(w), P(w))))","For all w, if V(w) then V(w) and P(w)."
7313,"ForAll(z, Implies(V(z), Or(P(z), V(z))))","For all z, if V(z) then P(z) or V(z)."
7314,"Exists(y, Exists(w, Exists(v, And(N(y,w), N(w,v)))))","There exist y, w, and v such that N(y,w) and N(w,v)."
7315,"Exists(v, ForAll(z, Implies(O(v,z), U(z))))","There exists v such that for all z, if O(v,z) then U(z)."
7316,"ForAll(y, Or(P(y), Exists(w, U(w))))","For all y, either P(y) or there exists w such that U(w)."
7317,"Exists(w, And(U(w), Q(w)))",There exists w such that U(w) and Q(w).
7318,"ForAll(u, Implies(U(u), Or(V(u), S(u))))","For all u, if U(u) then V(u) or S(u)."
7319,"ForAll(x, Or(R(x), Exists(z, S(z))))","For all x, either R(x) or there exists z such that S(z)."
7320,"Exists(v, Exists(x, And(N(v,x), Q(v))))","There exist v and x such that N(v,x) and Q(v)."
7321,"ForAll(y, Implies(Exists(w, L(y,w)), R(y)))","For all y, if there exists w with L(y,w) then R(y)."
7322,"ForAll(z, Equivalent(S(z), Q(z)))","For all z, S(z) if and only if Q(z)."
7323,"Exists(v, ForAll(w, Equivalent(Q(v), N(v,w))))","There exists v such that for all w, Q(v) iff N(v,w)."
7324,"Exists(v, ForAll(x, Equivalent(Q(v), N(v,x))))","There exists v such that for all x, Q(v) iff N(v,x)."
7325,"ForAll(w, Or(Not(Q(w)), P(w)))","For all w, either not Q(w) or P(w)."
7326,"ForAll(w, Implies(V(w), Exists(y, M(w,y))))","For all w, if V(w) then there exists y such that M(w,y)."
7327,"ForAll(w, Implies(U(w), Or(T(w), V(w))))","For all w, if U(w) then T(w) or V(w)."
7328,"ForAll(z, Or(P(z), Exists(u, S(u))))","For all z, either P(z) or there exists u such that S(u)."
7329,"Exists(u, Implies(Q(u), ForAll(z, V(z))))","There exists u such that if Q(u) then for all z, V(z)."
7330,"ForAll(u, Implies(S(u), Exists(x, O(u,x))))","For all u, if S(u) then there exists x such that O(u,x)."
7331,"Exists(u, ForAll(v, Equivalent(P(u), M(u,v))))","There exists u such that for all v, P(u) iff M(u,v)."
7332,"Exists(w, Exists(x, Exists(v, And(M(w,x), M(x,v)))))","There exist w, x, and v such that M(w,x) and M(x,v)."
7333,"Exists(x, Exists(z, And(M(x,z), V(x))))","There exist x and z such that M(x,z) and V(x)."
7334,"Exists(x, ForAll(z, Equivalent(T(x), M(x,z))))","There exists x such that for all z, T(x) iff M(x,z)."
7335,"ForAll(x, Implies(And(T(x), Q(x)), Q(x)))","For all x, if T(x) and Q(x) then Q(x)."
7336,"ForAll(z, Implies(V(z), And(T(z), R(z))))","For all z, if V(z) then T(z) and R(z)."
7337,"ForAll(v, Implies(U(v), Or(U(v), P(v))))","For all v, if U(v) then U(v) or P(v)."
7338,"ForAll(w, Implies(Q(w), And(S(w), U(w))))","For all w, if Q(w) then S(w) and U(w)."
7339,"ForAll(x, Implies(And(R(x), T(x)), U(x)))","For all x, if R(x) and T(x) then U(x)."
7340,"ForAll(u, Implies(And(V(u), V(u)), V(u)))","For all u, if V(u) and V(u) then V(u)."
7341,"ForAll(u, Or(U(u), Exists(x, R(x))))","For all u, either U(u) or there exists x such that R(x)."
7342,"Exists(u, Exists(y, And(N(u,y), S(u))))","There exist u and y such that N(u,y) and S(u)."
7343,"Exists(x, And(R(x), P(x)))",There exists x such that R(x) and P(x).
7344,"Exists(z, And(Not(Q(z)), Exists(u, M(z,u))))","There exists z such that not Q(z) and there exists u with M(z,u)."
7345,"Exists(x, ForAll(u, Implies(O(x,u), P(u))))","There exists x such that for all u, if O(x,u) then P(u)."
7346,"ForAll(x, Implies(V(x), R(x)))","For all x, if V(x) then R(x)."
7347,"ForAll(v, Implies(P(v), And(R(v), T(v))))","For all v, if P(v) then R(v) and T(v)."
7348,"ForAll(x, Implies(And(U(x), Q(x)), P(x)))","For all x, if U(x) and Q(x) then P(x)."
7349,"Exists(x, Implies(Q(x), ForAll(v, S(v))))","There exists x such that if Q(x) then for all v, S(v)."
7350,"ForAll(y, Implies(Q(y), Or(Q(y), V(y))))","For all y, if Q(y) then Q(y) or V(y)."
7351,"ForAll(y, Implies(U(y), Or(T(y), Q(y))))","For all y, if U(y) then T(y) or Q(y)."
7352,"ForAll(x, Implies(And(S(x), P(x)), U(x)))","For all x, if S(x) and P(x) then U(x)."
7353,"Exists(w, Exists(z, Exists(y, And(O(w,z), O(z,y)))))","There exist w, z, and y such that O(w,z) and O(z,y)."
7354,"Exists(w, Exists(u, And(L(w,u), U(w))))","There exist w and u such that L(w,u) and U(w)."
7355,"ForAll(x, Implies(S(x), And(R(x), V(x))))","For all x, if S(x) then R(x) and V(x)."
7356,"Exists(z, ForAll(w, Equivalent(U(z), N(z,w))))","There exists z such that for all w, U(z) iff N(z,w)."
7357,"ForAll(v, Implies(Q(v), And(U(v), T(v))))","For all v, if Q(v) then U(v) and T(v)."
7358,"ForAll(z, Implies(T(z), And(S(z), R(z))))","For all z, if T(z) then S(z) and R(z)."
7359,"ForAll(u, Implies(T(u), Or(P(u), V(u))))","For all u, if T(u) then P(u) or V(u)."
7360,"Exists(v, Exists(y, And(L(v,y), U(v))))","There exist v and y such that L(v,y) and U(v)."
7361,"ForAll(w, Implies(P(w), Or(R(w), P(w))))","For all w, if P(w) then R(w) or P(w)."
7362,"ForAll(u, Implies(Q(u), Or(R(u), T(u))))","For all u, if Q(u) then R(u) or T(u)."
7363,"Exists(u, Exists(z, Exists(y, And(N(u,z), N(z,y)))))","There exist u, z, and y such that N(u,z) and N(z,y)."
7364,"ForAll(u, Implies(Exists(z, N(u,z)), T(u)))","For all u, if there exists z with N(u,z) then T(u)."
7365,"Exists(x, Implies(P(x), ForAll(u, T(u))))","There exists x such that if P(x) then for all u, T(u)."
7366,"ForAll(w, Implies(S(w), Or(Q(w), P(w))))","For all w, if S(w) then Q(w) or P(w)."
7367,"ForAll(v, Implies(Exists(x, M(v,x)), Q(v)))","For all v, if there exists x with M(v,x) then Q(v)."
7368,"ForAll(v, ForAll(x, Implies(O(v,x), O(x,v))))","For all v and x, if O(v,x) then O(x,v)."
7369,"ForAll(u, Implies(U(u), Or(V(u), T(u))))","For all u, if U(u) then V(u) or T(u)."
