expression,english_description
"((¬Professor(z) → (Mortal(0) → Cat(y))) ↔ ¬Loves(z,y))","If It is not the case that z is a professor, then if 0 is mortal, then y is a cat if and only if It is not the case that z loves y"
"∃w Subset(x,v)","There exists w, x is a subset of v"
"∃x Greater(b,b)","There exists x, b is greater than b"
∃v (Odd(v) ∧ Dog(y)),There exists v such that v is odd and y is a dog
"¬∀u (Mortal(u) → Friend(b,c))","It is not the case that For every u, if u is mortal, then b is a friend of c"
h(a) = f(u),H(a) equals f(u)
(∃z (Dog(z) ∧ ∃y Animal(0)) ∨ ((Odd(1) → Human(v)) ∨ ¬Cat(x))),"There exists z such that z is a dog and There exists y, 0 is an animal or if 1 is odd, then v is a human or It is not the case that x is a cat"
"Equal(b,0)",B is equal to 0
"(∀v (Animal(v) → (Friend(2,u) ∧ ParentOf(u,h(z)))) → Odd(b))","If For every v, if v is an animal, then 2 is a friend of u and u is a parent of h(z), then b is odd"
y = g(g(g(u))),Y equals g(g(g(u)))
"∀y ¬∀y Knows(x,z)","For every y, It is not the case that For every y, x knows z"
"Member(x,0)",X is a member of 0
"((Likes(h(z),y) ↔ ¬Dog(b)) ∨ ∀v (Prime(v) → (Friend(z,u) → Animal(g(x)))))","H(z) likes y if and only if It is not the case that b is a dog or For every v, if v is prime, then if z is a friend of u, then g(x) is an animal"
¬Animal(h(y)),It is not the case that h(y) is an animal
"(¬∃y Knows(1,g(w)) ↔ u = x)","It is not the case that There exists y, 1 knows g(w) if and only if u equals x"
"(Student(2) → (Friend(w,1) ↔ (Friend(y,u) ∨ Even(g(y)))))","If 2 is a student, then w is a friend of 1 if and only if y is a friend of u or g(y) is even"
"(∀u (Student(u) → ∃z (Even(z) ∧ Even(b))) ∧ ¬Knows(v,h(f(u))))","For every u, if u is a student, then There exists z such that z is even and b is even and It is not the case that v knows h(f(u))"
∃w ∀z (Prime(z) → (g(w) = b ∧ Human(v))),"There exists w, For every z, if z is prime, then g(w) equals b and v is a human"
"((¬ParentOf(g(c),0) ∧ Prime(h(x))) ∧ Friend(b,u))",It is not the case that g(c) is a parent of 0 and h(x) is prime and b is a friend of u
(∀v (Professor(v) → w = g(v)) ↔ Odd(g(v))),"For every v, if v is a professor, then w equals g(v) if and only if g(v) is odd"
"¬∀y (Knows(g(w),v) ↔ Prime(z))","It is not the case that For every y, g(w) knows v if and only if z is prime"
∀z (Human(z) → ∃z Prime(w)),"For every z, if z is a human, then There exists z, w is prime"
"(¬Cat(z) → ¬(a = a ∧ Greater(y,f(u))))","If It is not the case that z is a cat, then It is not the case that a equals a and y is greater than f(u)"
"((¬h(z) = u → (1 = v ∨ ParentOf(u,y))) ↔ (∃z (Mortal(z) ∧ Less(y,y)) → Likes(b,h(y))))","If It is not the case that h(z) equals u, then 1 equals v or u is a parent of y if and only if if There exists z such that z is mortal and y is less than y, then b likes h(y)"
"((∀z Human(g(f(y))) ∧ ∀w (Prime(w) → Greater(w,z))) → Student(b))","If For every z, g(f(y)) is a human and For every w, if w is prime, then w is greater than z, then b is a student"
¬∃w (Student(w) ∧ Cat(z)),It is not the case that There exists w such that w is a student and z is a cat
"(¬(Knows(y,h(c)) ↔ Prime(z)) ∧ (ParentOf(0,g(y)) ↔ (ParentOf(f(w),w) ↔ Prime(f(x)))))",It is not the case that y knows h(c) if and only if z is prime and 0 is a parent of g(y) if and only if f(w) is a parent of w if and only if f(x) is prime
"(Friend(b,g(v)) → ∃v (Dog(v) ∧ Less(a,b)))","If b is a friend of g(v), then There exists v such that v is a dog and a is less than b"
"Likes(v,z)",V likes z
"(¬(Knows(a,h(x)) ↔ Student(g(v))) → Knows(g(v),z))","If It is not the case that a knows h(x) if and only if g(v) is a student, then g(v) knows z"
(∃y (Odd(y) ∧ ∃v (Student(v) ∧ Dog(x))) ↔ ∃z (Dog(z) ∧ Even(z))),There exists y such that y is odd and There exists v such that v is a student and x is a dog if and only if There exists z such that z is a dog and z is even
¬Even(f(z)),It is not the case that f(z) is even
¬(Mortal(c) ∧ ¬2 = c),It is not the case that c is mortal and It is not the case that 2 equals c
"(∀v ¬Member(v,y) → ∃w (Prime(w) ∧ Less(h(v),v)))","If For every v, It is not the case that v is a member of y, then There exists w such that w is prime and h(v) is less than v"
∀w (Odd(w) → u = b),"For every w, if w is odd, then u equals b"
"Likes(x,0)",X likes 0
"∀w ∃z Likes(v,z)","For every w, There exists z, v likes z"
"∃v (Human(v) ∧ ∀x (Odd(x) → Less(c,y)))","There exists v such that v is a human and For every x, if x is odd, then c is less than y"
"Likes(0,f(u))",0 likes f(u)
"Likes(y,g(y))",Y likes g(y)
b = g(c),B equals g(c)
"(Mortal(f(z)) ∧ (∀v Human(c) ∧ (Odd(g(y)) ∧ Less(h(z),y))))","F(z) is mortal and For every v, c is a human and g(y) is odd and h(z) is less than y"
"Equal(u,x)",U is equal to x
"∃z ∃z ¬Subset(b,w)","There exists z, There exists z, It is not the case that b is a subset of w"
"Member(u,b)",U is a member of b
"∃x (Odd(x) ∧ ∀w (Animal(w) → (Loves(v,2) ∨ Student(f(z)))))","There exists x such that x is odd and For every w, if w is an animal, then v loves 2 or f(z) is a student"
"(¬∀v (Even(v) → Member(g(a),g(u))) ↔ ¬∃v (Cat(v) ∧ a = 1))","It is not the case that For every v, if v is even, then g(a) is a member of g(u) if and only if It is not the case that There exists v such that v is a cat and a equals 1"
"(∀y (Student(y) → ∀w w = 2) ∧ Knows(c,0))","For every y, if y is a student, then For every w, w equals 2 and c knows 0"
∀y (Professor(y) → Cat(g(z))),"For every y, if y is a professor, then g(z) is a cat"
∃z (Cat(z) ∧ z = 1),There exists z such that z is a cat and z equals 1
"∀x ∃y (Mortal(y) ∧ Member(b,h(x)))","For every x, There exists y such that y is mortal and b is a member of h(x)"
"∀w (Prime(w) → ¬Friend(y,b))","For every w, if w is prime, then It is not the case that y is a friend of b"
g(x) = h(f(c)),G(x) equals h(f(c))
"((Member(f(w),u) ↔ (Greater(g(v),g(f(x))) → Human(1))) ∧ ((Student(f(x)) ∧ Knows(g(w),v)) → ParentOf(h(h(g(v))),b)))","F(w) is a member of u if and only if if g(v) is greater than g(f(x)), then 1 is a human and if f(x) is a student and g(w) knows v, then h(h(g(v))) is a parent of b"
"(¬Knows(0,c) ∧ Equal(c,2))",It is not the case that 0 knows c and c is equal to 2
"(¬(Equal(1,w) ∧ Odd(0)) ↔ ¬∃v Prime(v))","It is not the case that 1 is equal to w and 0 is odd if and only if It is not the case that There exists v, v is prime"
"(∃w Likes(f(z),0) ∨ ∃x (Mortal(x) ∧ Human(u)))","There exists w, f(z) likes 0 or There exists x such that x is mortal and u is a human"
"∀y (Prime(y) → ∃y (Odd(y) ∧ Greater(z,v)))","For every y, if y is prime, then There exists y such that y is odd and z is greater than v"
(Mortal(y) ∨ (∃x (Animal(x) ∧ Even(0)) → ¬Even(w))),"Y is mortal or if There exists x such that x is an animal and 0 is even, then It is not the case that w is even"
"(∀y Even(w) ↔ Likes(h(2),a))","For every y, w is even if and only if h(2) likes a"
"(¬¬Odd(u) ↔ ∀y ¬Friend(c,w))","It is not the case that It is not the case that u is odd if and only if For every y, It is not the case that c is a friend of w"
¬((Cat(c) → Professor(c)) ↔ ∀y h(x) = z),"It is not the case that if c is a cat, then c is a professor if and only if For every y, h(x) equals z"
"Loves(g(x),f(u))",G(x) loves f(u)
∃u (Student(u) ∧ ¬¬Student(w)),There exists u such that u is a student and It is not the case that It is not the case that w is a student
"((∀v (Student(v) → Less(u,1)) ∨ ∃z (Professor(z) ∧ Less(x,f(z)))) ∨ ¬Less(u,h(u)))","For every v, if v is a student, then u is less than 1 or There exists z such that z is a professor and x is less than f(z) or It is not the case that u is less than h(u)"
¬∀y (Animal(y) → ¬h(w) = 0),"It is not the case that For every y, if y is an animal, then It is not the case that h(w) equals 0"
"((Member(w,z) ∧ ¬Greater(1,u)) ↔ Loves(y,c))",W is a member of z and It is not the case that 1 is greater than u if and only if y loves c
"¬∃y (Human(y) ∧ ∀v Less(y,z))","It is not the case that There exists y such that y is a human and For every v, y is less than z"
∃z (Prime(x) ∨ ∃v (Animal(v) ∧ Student(z))),"There exists z, x is prime or There exists v such that v is an animal and z is a student"
(x = v ∧ ¬¬Prime(f(y))),X equals v and It is not the case that It is not the case that f(y) is prime
∀u (Human(u) → f(a) = w),"For every u, if u is a human, then f(a) equals w"
"∀z ¬(Member(h(v),c) ∨ Greater(x,c))","For every z, It is not the case that h(v) is a member of c or x is greater than c"
"∀u (Odd(u) → (∃y (Cat(y) ∧ ParentOf(z,g(v))) → Mortal(0)))","For every u, if u is odd, then if There exists y such that y is a cat and z is a parent of g(v), then 0 is mortal"
"Subset(g(y),u)",G(y) is a subset of u
"∃w ∃y (Student(y) ∧ Equal(x,b))","There exists w, There exists y such that y is a student and x is equal to b"
"¬∃y (Student(y) ∧ (Subset(y,y) ∨ Greater(a,h(u))))",It is not the case that There exists y such that y is a student and y is a subset of y or a is greater than h(u)
(Odd(0) → ((Animal(x) ∨ u = x) ↔ (g(1) = v ∨ z = v))),"If 0 is odd, then x is an animal or u equals x if and only if g(1) equals v or z equals v"
"¬Knows(f(u),x)",It is not the case that f(u) knows x
"∀z (Mortal(z) → Equal(y,w))","For every z, if z is mortal, then y is equal to w"
∀w (Odd(w) → ¬Professor(h(c))),"For every w, if w is odd, then It is not the case that h(c) is a professor"
"(∀u (Prime(u) → (1 = h(x) → Mortal(u))) ∨ ¬(Likes(2,z) ↔ Professor(f(v))))","For every u, if u is prime, then if 1 equals h(x), then u is mortal or It is not the case that 2 likes z if and only if f(v) is a professor"
"∀x Likes(g(a),w)","For every x, g(a) likes w"
"ParentOf(y,c)",Y is a parent of c
"Less(g(v),1)",G(v) is less than 1
"(((Less(c,f(z)) → Greater(h(y),v)) → ∃u h(u) = 2) ∨ ∀v ¬v = v)","If if c is less than f(z), then h(y) is greater than v, then There exists u, h(u) equals 2 or For every v, It is not the case that v equals v"
"Friend(b,z)",B is a friend of z
∃u (Human(u) ∧ ∀z y = y),"There exists u such that u is a human and For every z, y equals y"
∃u ¬Student(u),"There exists u, It is not the case that u is a student"
"Equal(f(u),y)",F(u) is equal to y
∃y (Odd(y) ∧ u = f(u)),There exists y such that y is odd and u equals f(u)
"(Equal(h(y),z) ∧ ∀x (Cat(x) → ∀w (Even(w) → f(z) = u)))","H(y) is equal to z and For every x, if x is a cat, then For every w, if w is even, then f(z) equals u"
"(∀v Mortal(u) ∨ (v = h(z) ∨ ∃y Loves(v,f(w))))","For every v, u is mortal or v equals h(z) or There exists y, v loves f(w)"
"¬¬∃y Subset(b,z)","It is not the case that It is not the case that There exists y, b is a subset of z"
¬Odd(y),It is not the case that y is odd
"¬¬(x = u ↔ Subset(z,v))",It is not the case that It is not the case that x equals u if and only if z is a subset of v
"(w = 2 ∧ ∃v (Human(v) ∧ Knows(1,z)))",W equals 2 and There exists v such that v is a human and 1 knows z
"(¬(Professor(a) ∨ Cat(y)) ↔ ((Less(u,y) ↔ 0 = z) ∧ (x = f(v) → Member(u,c))))","It is not the case that a is a professor or y is a cat if and only if u is less than y if and only if 0 equals z and if x equals f(v), then u is a member of c"
"∃u ∀v (Mortal(v) → Subset(w,1))","There exists u, For every v, if v is mortal, then w is a subset of 1"
"Friend(x,g(z))",X is a friend of g(z)
"ParentOf(u,z)",U is a parent of z
"¬(Friend(x,2) ↔ Likes(a,g(u)))",It is not the case that x is a friend of 2 if and only if a likes g(u)
"Likes(u,h(1))",U likes h(1)
"(∃v (Odd(v) ∧ ∃u (Dog(u) ∧ x = g(y))) ↔ ¬Member(b,y))",There exists v such that v is odd and There exists u such that u is a dog and x equals g(y) if and only if It is not the case that b is a member of y
"Member(f(x),h(u))",F(x) is a member of h(u)
(Animal(z) ∧ ∀u (Even(u) → ∃u Mortal(1))),"Z is an animal and For every u, if u is even, then There exists u, 1 is mortal"
"∃y (Odd(y) ∧ ((Greater(1,c) ∨ Even(w)) → ∀z Even(g(z))))","There exists y such that y is odd and if 1 is greater than c or w is even, then For every z, g(z) is even"
"Likes(x,c)",X likes c
"(Likes(g(y),u) ∨ Even(f(c)))",G(y) likes u or f(c) is even
((∀y (Student(y) → Dog(z)) → Professor(x)) ↔ Professor(w)),"If For every y, if y is a student, then z is a dog, then x is a professor if and only if w is a professor"
"∃w (¬Equal(0,u) ∨ Even(f(y)))","There exists w, It is not the case that 0 is equal to u or f(y) is even"
¬∃y (Prime(y) ∧ ∃u (Mortal(u) ∧ Prime(v))),It is not the case that There exists y such that y is prime and There exists u such that u is mortal and v is prime
"(∀z (Professor(a) → Human(c)) ∨ (∃w (Odd(w) ∧ Knows(f(x),a)) → (Prime(x) ∨ f(u) = 0)))","For every z, if a is a professor, then c is a human or if There exists w such that w is odd and f(x) knows a, then x is prime or f(u) equals 0"
∀x ∀u (Cat(u) → ¬Prime(x)),"For every x, For every u, if u is a cat, then It is not the case that x is prime"
∃z ∀z ∃y Odd(y),"There exists z, For every z, There exists y, y is odd"
(∃w (Human(w) ∧ ∃x (Animal(x) ∧ Professor(2))) ↔ ∀w (Odd(w) → Odd(1))),"There exists w such that w is a human and There exists x such that x is an animal and 2 is a professor if and only if For every w, if w is odd, then 1 is odd"
"Member(h(g(y)),z)",H(g(y)) is a member of z
¬(¬g(v) = v ↔ Even(b)),It is not the case that It is not the case that g(v) equals v if and only if b is even
"(∃x (Knows(0,b) ∧ Equal(z,2)) ∨ ∃u Professor(b))","There exists x, 0 knows b and z is equal to 2 or There exists u, b is a professor"
"∀u (Prime(u) → Friend(g(z),0))","For every u, if u is prime, then g(z) is a friend of 0"
"¬Likes(z,w)",It is not the case that z likes w
"¬¬∀z Subset(x,a)","It is not the case that It is not the case that For every z, x is a subset of a"
"∃x (Professor(x) ∧ (¬Even(h(1)) ∧ ∃u (Even(u) ∧ Knows(u,w))))",There exists x such that x is a professor and It is not the case that h(1) is even and There exists u such that u is even and u knows w
"Equal(u,g(v))",U is equal to g(v)
"∀y (Animal(y) → (¬Equal(b,c) ∧ Dog(f(g(v)))))","For every y, if y is an animal, then It is not the case that b is equal to c and f(g(v)) is a dog"
"(((Odd(c) ∨ Less(w,y)) ↔ ∃w (Dog(w) ∧ Mortal(x))) ∧ ∃x Likes(w,h(v)))","C is odd or w is less than y if and only if There exists w such that w is a dog and x is mortal and There exists x, w likes h(v)"
∃v (Cat(v) ∧ ∃v (Animal(v) ∧ ¬Professor(2))),There exists v such that v is a cat and There exists v such that v is an animal and It is not the case that 2 is a professor
∀u (Animal(u) → ∀z ∀w (Even(w) → Professor(z))),"For every u, if u is an animal, then For every z, For every w, if w is even, then z is a professor"
"((Animal(f(h(c))) → ∃x (Animal(x) ∧ Knows(h(x),x))) → Likes(z,y))","If if f(h(c)) is an animal, then There exists x such that x is an animal and h(x) knows x, then z likes y"
"¬∃y Greater(1,z)","It is not the case that There exists y, 1 is greater than z"
"∀w (Cat(w) → ¬∀x Member(u,y))","For every w, if w is a cat, then It is not the case that For every x, u is a member of y"
"((¬Even(y) ∧ ∃u Likes(v,z)) ∧ ¬ParentOf(1,w))","It is not the case that y is even and There exists u, v likes z and It is not the case that 1 is a parent of w"
"∀x (Human(x) → Subset(g(y),1))","For every x, if x is a human, then g(y) is a subset of 1"
"(¬Member(y,v) ↔ Less(b,0))",It is not the case that y is a member of v if and only if b is less than 0
"(¬Human(v) ∨ ((Friend(h(y),c) ∧ Even(u)) ∨ Human(x)))",It is not the case that v is a human or h(y) is a friend of c and u is even or x is a human
"(∀z ParentOf(y,u) ∧ (¬Friend(1,c) ∨ ∃u ParentOf(f(y),x)))","For every z, y is a parent of u and It is not the case that 1 is a friend of c or There exists u, f(y) is a parent of x"
"∃u (Human(u) ∧ Likes(f(z),v))",There exists u such that u is a human and f(z) likes v
¬0 = 2,It is not the case that 0 equals 2
"(Equal(v,1) ∧ ∃v (ParentOf(x,x) → Mortal(y)))","V is equal to 1 and There exists v, if x is a parent of x, then y is mortal"
"∃v (Mortal(v) ∧ Subset(v,g(v)))",There exists v such that v is mortal and v is a subset of g(v)
∀x Human(g(z)),"For every x, g(z) is a human"
∀z (∀z Student(0) ∨ ¬z = f(v)),"For every z, For every z, 0 is a student or It is not the case that z equals f(v)"
∃x (Professor(x) ∧ (¬Dog(1) ↔ (Mortal(z) ↔ f(z) = x))),There exists x such that x is a professor and It is not the case that 1 is a dog if and only if z is mortal if and only if f(z) equals x
"(Student(w) ↔ (∃u Human(2) → Member(a,f(h(z)))))","W is a student if and only if if There exists u, 2 is a human, then a is a member of f(h(z))"
"Knows(z,x)",Z knows x
"¬(¬Subset(w,u) → (ParentOf(z,h(z)) → w = v))","It is not the case that if It is not the case that w is a subset of u, then if z is a parent of h(z), then w equals v"
∀u g(c) = z,"For every u, g(c) equals z"
"Less(f(h(h(b))),h(g(x)))",F(h(h(b))) is less than h(g(x))
"∃x (Odd(x) ∧ ∃x (Loves(z,z) ∨ 0 = y))","There exists x such that x is odd and There exists x, z loves z or 0 equals y"
"(Loves(z,u) ∨ (¬Member(h(z),y) → ∃w (Prime(w) ∧ Student(2))))","Z loves u or if It is not the case that h(z) is a member of y, then There exists w such that w is prime and 2 is a student"
"∀x (Human(x) → (¬Equal(c,v) ∨ ¬Likes(b,x)))","For every x, if x is a human, then It is not the case that c is equal to v or It is not the case that b likes x"
"∀x (Mortal(x) → Knows(z,w))","For every x, if x is mortal, then z knows w"
"((∃u Cat(f(x)) ∧ h(h(w)) = g(v)) → (ParentOf(w,g(2)) → (Likes(w,v) ↔ Friend(u,x))))","If There exists u, f(x) is a cat and h(h(w)) equals g(v), then if w is a parent of g(2), then w likes v if and only if u is a friend of x"
(Odd(w) ↔ Dog(1)),W is odd if and only if 1 is a dog
¬w = x,It is not the case that w equals x
"∃u (Prime(u) ∧ ¬Likes(a,c))",There exists u such that u is prime and It is not the case that a likes c
"(Odd(z) ↔ (¬Friend(u,2) ↔ ¬y = x))",Z is odd if and only if It is not the case that u is a friend of 2 if and only if It is not the case that y equals x
∀y (Cat(g(x)) ↔ Student(g(y))),"For every y, g(x) is a cat if and only if g(y) is a student"
"Member(h(h(z)),b)",H(h(z)) is a member of b
((∃u Animal(v) ↔ (Animal(u) ∧ Human(w))) → Professor(g(z))),"If There exists u, v is an animal if and only if u is an animal and w is a human, then g(z) is a professor"
"(∀v (Mortal(v) → (0 = u ∧ Member(x,1))) ∧ ∀v (Odd(v) → ∀x Dog(x)))","For every v, if v is mortal, then 0 equals u and x is a member of 1 and For every v, if v is odd, then For every x, x is a dog"
"∃y Greater(1,h(x))","There exists y, 1 is greater than h(x)"
"Member(h(a),y)",H(a) is a member of y
∃w (Human(w) ∧ (g(x) = u → (Animal(v) ↔ Animal(w)))),"There exists w such that w is a human and if g(x) equals u, then v is an animal if and only if w is an animal"
"(¬∃x (Cat(x) ∧ Less(h(v),z)) ∨ ∀u (Animal(u) → Professor(f(w))))","It is not the case that There exists x such that x is a cat and h(v) is less than z or For every u, if u is an animal, then f(w) is a professor"
∃v Mortal(b),"There exists v, b is mortal"
¬∃x v = f(x),"It is not the case that There exists x, v equals f(x)"
"(¬Member(x,w) ↔ Friend(z,z))",It is not the case that x is a member of w if and only if z is a friend of z
f(v) = g(y),F(v) equals g(y)
"¬(Member(0,y) ∧ Odd(x))",It is not the case that 0 is a member of y and x is odd
"∀w (Human(w) → Likes(2,x))","For every w, if w is a human, then 2 likes x"
∃w (Student(w) ∧ ∃v (Student(v) ∧ ¬g(v) = c)),There exists w such that w is a student and There exists v such that v is a student and It is not the case that g(v) equals c
∀y (Prime(y) → Animal(z)),"For every y, if y is prime, then z is an animal"
(¬Student(z) ∨ ∃v (Dog(z) ∨ u = a)),"It is not the case that z is a student or There exists v, z is a dog or u equals a"
"Subset(f(v),0)",F(v) is a subset of 0
"Knows(g(w),h(y))",G(w) knows h(y)
"Loves(x,w)",X loves w
"Greater(f(u),x)",F(u) is greater than x
"∀v (Professor(v) → Subset(f(1),a))","For every v, if v is a professor, then f(1) is a subset of a"
(Animal(g(u)) ∨ ∀v (Odd(v) → u = y)),"G(u) is an animal or For every v, if v is odd, then u equals y"
h(w) = z,H(w) equals z
"((Odd(x) ↔ (y = x ∧ Member(g(u),1))) ∧ Greater(c,f(y)))",X is odd if and only if y equals x and g(u) is a member of 1 and c is greater than f(y)
"(¬Member(z,x) → ¬(Loves(h(u),a) ↔ Knows(g(u),h(u))))","If It is not the case that z is a member of x, then It is not the case that h(u) loves a if and only if g(u) knows h(u)"
¬(¬u = y ∧ g(y) = u),It is not the case that It is not the case that u equals y and g(y) equals u
"((Professor(y) ∨ ¬Prime(1)) ∧ (∀y Equal(f(x),w) ↔ ¬Less(2,f(z))))","Y is a professor or It is not the case that 1 is prime and For every y, f(x) is equal to w if and only if It is not the case that 2 is less than f(z)"
"∀w ¬∃y Member(f(v),z)","For every w, It is not the case that There exists y, f(v) is a member of z"
"((∀y (Even(y) → Greater(y,z)) → ∀y Cat(y)) → Student(f(x)))","If if For every y, if y is even, then y is greater than z, then For every y, y is a cat, then f(x) is a student"
"∃y (Student(y) ∧ ∃w ∃v (Even(v) ∧ Greater(u,z)))","There exists y such that y is a student and There exists w, There exists v such that v is even and u is greater than z"
"(Greater(w,z) ∧ y = 0)",W is greater than z and y equals 0
"(∃v (Animal(v) ∧ ¬Member(y,g(y))) → (∀u (Odd(u) → Mortal(y)) ↔ ∃x Animal(h(v))))","If There exists v such that v is an animal and It is not the case that y is a member of g(y), then For every u, if u is odd, then y is mortal if and only if There exists x, h(v) is an animal"
"¬Knows(1,0)",It is not the case that 1 knows 0
"((Subset(0,f(u)) ∨ (Member(v,z) ↔ v = u)) ↔ b = 0)",0 is a subset of f(u) or v is a member of z if and only if v equals u if and only if b equals 0
"∀u Likes(c,w)","For every u, c likes w"
¬¬(a = 1 ∧ Dog(g(g(v)))),It is not the case that It is not the case that a equals 1 and g(g(v)) is a dog
"Likes(z,f(u))",Z likes f(u)
∀z ∃w (Odd(h(v)) ↔ Human(c)),"For every z, There exists w, h(v) is odd if and only if c is a human"
"((¬Less(v,c) ∨ Odd(x)) ↔ ∃w (Student(w) ∧ ∀z Professor(2)))","It is not the case that v is less than c or x is odd if and only if There exists w such that w is a student and For every z, 2 is a professor"
"Subset(f(w),f(x))",F(w) is a subset of f(x)
∃z ∀y (Professor(y) → ∀z Professor(0)),"There exists z, For every y, if y is a professor, then For every z, 0 is a professor"
"∃y (Professor(y) ∧ Subset(h(v),c))",There exists y such that y is a professor and h(v) is a subset of c
"∃u Loves(z,y)","There exists u, z loves y"
"¬(Prime(u) → Equal(g(z),z))","It is not the case that if u is prime, then g(z) is equal to z"
"(Greater(y,h(v)) ∧ (ParentOf(f(v),y) ∨ ¬Mortal(x)))",Y is greater than h(v) and f(v) is a parent of y or It is not the case that x is mortal
"∀u (Mortal(u) → ∀x (Mortal(x) → ∀y Less(u,u)))","For every u, if u is mortal, then For every x, if x is mortal, then For every y, u is less than u"
"¬ParentOf(v,y)",It is not the case that v is a parent of y
(Prime(x) ∧ Cat(1)),X is prime and 1 is a cat
"Greater(g(v),v)",G(v) is greater than v
"Friend(u,h(w))",U is a friend of h(w)
∃u (Animal(u) ∧ Human(2)),There exists u such that u is an animal and 2 is a human
"∃z (Cat(z) ∧ (v = v ∧ Friend(g(y),y)))",There exists z such that z is a cat and v equals v and g(y) is a friend of y
"(¬Subset(h(x),x) ∧ (Greater(v,h(v)) → ¬Odd(1)))","It is not the case that h(x) is a subset of x and if v is greater than h(v), then It is not the case that 1 is odd"
"(∀u Human(v) → Member(a,y))","If For every u, v is a human, then a is a member of y"
"∃u (Mortal(u) ∧ Subset(b,f(f(w))))",There exists u such that u is mortal and b is a subset of f(f(w))
∃y (Animal(y) ∧ ∀w (Odd(w) → Animal(w))),"There exists y such that y is an animal and For every w, if w is odd, then w is an animal"
∀u ¬(Dog(w) → Cat(1)),"For every u, It is not the case that if w is a dog, then 1 is a cat"
"∃z ¬¬ParentOf(f(z),v)","There exists z, It is not the case that It is not the case that f(z) is a parent of v"
∃u (Human(u) ∧ w = z),There exists u such that u is a human and w equals z
"Equal(f(h(z)),w)",F(h(z)) is equal to w
¬∀u (Student(g(a)) ∧ Dog(h(c))),"It is not the case that For every u, g(a) is a student and h(c) is a dog"
"(¬∀w Loves(h(v),1) ↔ ∀w (Greater(w,h(v)) ∧ Less(h(v),b)))","It is not the case that For every w, h(v) loves 1 if and only if For every w, w is greater than h(v) and h(v) is less than b"
"∀v ¬(ParentOf(w,h(u)) ↔ Cat(g(y)))","For every v, It is not the case that w is a parent of h(u) if and only if g(y) is a cat"
"(Even(v) ∧ Knows(g(w),w))",V is even and g(w) knows w
"(∃y (Human(y) ∧ Mortal(b)) ∧ (∃w (Professor(w) ∧ x = a) → Friend(v,c)))","There exists y such that y is a human and b is mortal and if There exists w such that w is a professor and x equals a, then v is a friend of c"
"Likes(x,u)",X likes u
"∀u (Student(u) → ∀u (Knows(c,f(w)) → z = y))","For every u, if u is a student, then For every u, if c knows f(w), then z equals y"
"((∃z Less(w,1) ∨ ¬Less(c,0)) ∧ (¬ParentOf(h(f(x)),v) ∨ z = y))","There exists z, w is less than 1 or It is not the case that c is less than 0 and It is not the case that h(f(x)) is a parent of v or z equals y"
"∃w (Even(w) ∧ Loves(x,a))",There exists w such that w is even and x loves a
¬∀y Prime(f(u)),"It is not the case that For every y, f(u) is prime"
"((¬ParentOf(u,w) ↔ (Prime(x) ↔ Mortal(y))) → (Subset(0,w) → Odd(v)))","If It is not the case that u is a parent of w if and only if x is prime if and only if y is mortal, then if 0 is a subset of w, then v is odd"
"(Odd(v) ∨ (Member(z,f(u)) → w = v))","V is odd or if z is a member of f(u), then w equals v"
"(∃y ¬Human(w) ∨ ∃w Subset(w,h(u)))","There exists y, It is not the case that w is a human or There exists w, w is a subset of h(u)"
"(ParentOf(w,x) ∨ Friend(z,c))",W is a parent of x or z is a friend of c
∃x Dog(g(u)),"There exists x, g(u) is a dog"
"¬(∀x (Student(x) → Student(w)) ∧ ¬Member(1,1))","It is not the case that For every x, if x is a student, then w is a student and It is not the case that 1 is a member of 1"
∃x (Human(x) ∧ Professor(y)),There exists x such that x is a human and y is a professor
"(¬(Likes(y,y) ↔ Animal(v)) ↔ ∃y ¬Likes(h(g(w)),y))","It is not the case that y likes y if and only if v is an animal if and only if There exists y, It is not the case that h(g(w)) likes y"
"(g(y) = a ↔ (Equal(c,a) ∧ Cat(x)))",G(y) equals a if and only if c is equal to a and x is a cat
"(Odd(c) → ¬(Equal(f(w),v) → Knows(w,y)))","If c is odd, then It is not the case that if f(w) is equal to v, then w knows y"
"¬¬Friend(0,w)",It is not the case that It is not the case that 0 is a friend of w
"Knows(h(z),w)",H(z) knows w
"Greater(w,f(w))",W is greater than f(w)
"∃z (Cat(z) ∧ ∀z (Prime(z) → Friend(u,f(x))))","There exists z such that z is a cat and For every z, if z is prime, then u is a friend of f(x)"
"¬((Greater(y,0) ∨ ParentOf(x,1)) ∧ Human(z))",It is not the case that y is greater than 0 or x is a parent of 1 and z is a human
∀u (Odd(u) → (Cat(w) ∨ ∀x (Student(x) → Animal(c)))),"For every u, if u is odd, then w is a cat or For every x, if x is a student, then c is an animal"
"¬(∃y (Cat(y) ∧ Loves(v,u)) → (y = 1 ↔ Student(2)))","It is not the case that if There exists y such that y is a cat and v loves u, then y equals 1 if and only if 2 is a student"
"(¬u = b ∨ Knows(v,w))",It is not the case that u equals b or v knows w
"¬∀u (Even(u) → ∀x Less(w,1))","It is not the case that For every u, if u is even, then For every x, w is less than 1"
"((Professor(f(u)) → (Mortal(2) → Prime(f(v)))) ∧ ¬∀z Greater(u,u))","If f(u) is a professor, then if 2 is mortal, then f(v) is prime and It is not the case that For every z, u is greater than u"
